make,model,year,trans,vclass,cylinders,drive,comb,city,hwy,trany,displ
"Porsche","Boxster S",2014,"Manual","Two Seaters","6 Cylinders","Rear-Wheel Drive",23,20,28,"Manual 6-spd","3.4"
"Chevrolet","Sonic 5",2014,"Manual","Midsize Cars","4 Cylinders","Front-Wheel Drive",30,26,35,"Manual 5-spd","1.8"
"Chevrolet","Equinox AWD",2014,"Automatic","Small Sport Utility","4 Cylinders","All-Wheel Drive",23,20,29,"Automatic 6-spd","2.4"
"Ford","Focus FWD",2014,"Automatic","Compact Cars","4 Cylinders","Front-Wheel Drive",31,27,37,"Automatic (S6)","2.0"
"Chevrolet","Cruze Eco",2014,"Manual","Midsize Cars","4 Cylinders","Front-Wheel Drive",33,28,42,"Manual 6-spd","1.4"
"Chevrolet","Cruze",2014,"Manual","Midsize Cars","4 Cylinders","Front-Wheel Drive",30,26,38,"Manual 6-spd","1.4"
"Ford","Focus SFE FWD FFV",2014,"Automatic","Compact Cars","4 Cylinders","Front-Wheel Drive",33,28,40,"Auto(AM6)","2.0"
"Porsche","Panamera",2014,"Automatic","Large Cars","6 Cylinders","Rear-Wheel Drive",22,18,28,"Auto(AM-S7)","3.6"
"Audi","A5 quattro",2014,"Manual","Subcompact Cars","4 Cylinders","All-Wheel Drive",26,22,32,"Manual 6-spd","2.0"
"Ford","Edge FWD",2014,"Automatic","Small Sport Utility","6 Cylinders","Front-Wheel Drive",22,19,27,"Automatic (S6)","3.5"
"Nissan","Maxima",2014,"Automatic","Midsize Cars","6 Cylinders","Front-Wheel Drive",22,19,26,"Auto(AV-S6)","3.5"
"Ford","Explorer FWD",2014,"Automatic","Standard Sport Utility","4 Cylinders","Front-Wheel Drive",23,20,28,"Automatic 6-spd","2.0"
"Ford","Focus FWD FFV",2014,"Automatic","Compact Cars","4 Cylinders","Front-Wheel Drive",30,26,37,"Auto(AM6)","2.0"
"Audi","SQ5",2014,"Automatic","Small Sport Utility","6 Cylinders","All-Wheel Drive",19,16,23,"Automatic (S8)","3.0"
"Ford","Taurus AWD FFV",2014,"Automatic","Large Cars","6 Cylinders","All-Wheel Drive",21,18,26,"Automatic (S6)","3.5"
"BMW","740Li xDrive",2014,"Automatic","Large Cars","6 Cylinders","All-Wheel Drive",22,19,28,"Automatic (S8)","3.0"
"Audi","A8 L",2014,"Automatic","Large Cars","8 Cylinders","All-Wheel Drive",19,16,26,"Automatic (S8)","4.0"
"Ford","Fiesta FWD",2014,"Manual","Subcompact Cars","4 Cylinders","Front-Wheel Drive",31,27,38,"Manual 5-spd","1.6"
"Audi","A5 Cabriolet",2014,"Automatic","Subcompact Cars","4 Cylinders","Front-Wheel Drive",27,24,32,"Auto(AV-S8)","2.0"
"BMW","528i",2014,"Automatic","Midsize Cars","4 Cylinders","Rear-Wheel Drive",27,23,34,"Automatic (S8)","2.0"
"Audi","A8 L",2014,"Automatic","Large Cars","6 Cylinders","All-Wheel Drive",21,18,28,"Automatic (S8)","3.0"
"Chevrolet","Traverse FWD",2014,"Automatic","Standard Sport Utility","6 Cylinders","Front-Wheel Drive",19,17,24,"Automatic 6-spd","3.6"
"Porsche","911 Carrera S Cabriolet",2014,"Automatic","Minicompact Cars","6 Cylinders","Rear-Wheel Drive",22,19,27,"Auto(AM-S7)","3.8"
"Chevrolet","Camaro",2014,"Manual","Compact Cars","8 Cylinders","Rear-Wheel Drive",19,16,24,"Manual 6-spd","6.2"
"Chevrolet","Captiva FWD",2014,"Automatic","Small Sport Utility","4 Cylinders","Front-Wheel Drive",23,20,28,"Automatic 6-spd","2.4"
"BMW","335i",2014,"Manual","Compact Cars","6 Cylinders","Rear-Wheel Drive",23,20,30,"Manual 6-spd","3.0"
"Porsche","Panamera GTS",2014,"Automatic","Large Cars","8 Cylinders","All-Wheel Drive",19,16,24,"Auto(AM-S7)","4.8"
"BMW","X1 sDrive28i",2014,"Automatic","Large Cars","4 Cylinders","Rear-Wheel Drive",27,23,34,"Automatic (S8)","2.0"
"Audi","TT Roadster quattro",2014,"Automatic","Two Seaters","4 Cylinders","All-Wheel Drive",26,22,31,"Auto(AM-S6)","2.0"
"BMW","328i xDrive Gran Turismo",2014,"Automatic","Large Cars","4 Cylinders","All-Wheel Drive",26,22,33,"Automatic (S8)","2.0"
"Porsche","Boxster",2014,"Manual","Two Seaters","6 Cylinders","Rear-Wheel Drive",24,20,30,"Manual 6-spd","2.7"
"Audi","A6 quattro",2014,"Automatic","Midsize Cars","6 Cylinders","All-Wheel Drive",22,18,27,"Automatic (S8)","3.0"
"BMW","328d",2014,"Automatic","Compact Cars","4 Cylinders","Rear-Wheel Drive",37,32,45,"Automatic (S8)","2.0"
"Porsche","Cayenne Diesel",2014,"Automatic","Standard Sport Utility","6 Cylinders","All-Wheel Drive",23,20,29,"Automatic (S8)","3.0"
"Chevrolet","Sonic 5 RS",2014,"Manual","Midsize Cars","4 Cylinders","Front-Wheel Drive",30,27,34,"Manual 6-spd","1.4"
"Ford","Edge AWD",2014,"Automatic","Small Sport Utility","6 Cylinders","All-Wheel Drive",21,18,25,"Automatic (S6)","3.5"
"Ford","Fusion FWD",2014,"Automatic","Midsize Cars","4 Cylinders","Front-Wheel Drive",26,22,33,"Automatic (S6)","2.0"
"Ford","Explorer FWD",2014,"Automatic","Standard Sport Utility","6 Cylinders","Front-Wheel Drive",20,17,24,"Automatic (S6)","3.5"
"BMW","535i",2014,"Automatic","Midsize Cars","6 Cylinders","Rear-Wheel Drive",24,20,30,"Automatic (S8)","3.0"
"Ford","Fiesta FWD",2014,"Automatic","Subcompact Cars","4 Cylinders","Front-Wheel Drive",32,29,39,"Auto(AM6)","1.6"
"BMW","X5 xDrive50i",2014,"Automatic","Standard Sport Utility","8 Cylinders","All-Wheel Drive",17,14,22,"Automatic (S8)","4.4"
"Nissan","370Z",2014,"Manual","Two Seaters","6 Cylinders","Rear-Wheel Drive",21,18,26,"Manual 6-spd","3.7"
"Chevrolet","Sonic 5",2014,"Automatic","Midsize Cars","4 Cylinders","Front-Wheel Drive",31,27,37,"Automatic (S6)","1.4"
"BMW","M6 Coupe",2014,"Manual","Subcompact Cars","8 Cylinders","Rear-Wheel Drive",17,15,22,"Manual 6-spd","4.4"
"BMW","640i xDrive Gran Coupe",2014,"Automatic","Compact Cars","6 Cylinders","All-Wheel Drive",23,20,29,"Automatic (S8)","3.0"
"Nissan","Murano AWD",2014,"Automatic","Small Sport Utility","6 Cylinders","All-Wheel Drive",20,18,23,"Automatic (variable gear ratios)","3.5"
"BMW","Z4 sDrive35is",2014,"Automatic","Two Seaters","6 Cylinders","Rear-Wheel Drive",20,17,24,"Auto(AM-S7)","3.0"
"BMW","535i xDrive Gran Turismo",2014,"Automatic","Large Cars","6 Cylinders","All-Wheel Drive",21,18,26,"Automatic (S8)","3.0"
"Audi","Q5 Hybrid",2014,"Automatic","Small Sport Utility","4 Cylinders","All-Wheel Drive",26,24,30,"Automatic (S8)","2.0"
"Porsche","Cayenne S",2014,"Automatic","Standard Sport Utility","8 Cylinders","All-Wheel Drive",18,16,22,"Automatic 8-spd","4.8"
"Audi","TT Coupe quattro",2014,"Automatic","Subcompact Cars","4 Cylinders","All-Wheel Drive",26,22,31,"Auto(AM-S6)","2.0"
"Nissan","Versa",2014,"Manual","Compact Cars","4 Cylinders","Front-Wheel Drive",30,27,36,"Manual 5-spd","1.6"
"BMW","X3 xDrive35i",2014,"Automatic","Small Sport Utility","6 Cylinders","All-Wheel Drive",21,19,26,"Automatic (S8)","3.0"
"Porsche","Panamera S",2014,"Automatic","Large Cars","6 Cylinders","Rear-Wheel Drive",21,17,27,"Auto(AM-S7)","3.0"
"Nissan","Xterra 4WD",2014,"Automatic","Small Sport Utility","6 Cylinders","4-Wheel Drive",17,15,20,"Automatic 5-spd","4.0"
"Ford","Expedition 2WD FFV",2014,"Automatic","Standard Sport Utility","8 Cylinders","Rear-Wheel Drive",16,14,20,"Automatic 6-spd","5.4"
"Chevrolet","Impala",2014,"Automatic","Large Cars","6 Cylinders","Front-Wheel Drive",21,18,28,"Automatic (S6)","3.6"
"BMW","X6 M",2014,"Automatic","Standard Sport Utility","8 Cylinders","All-Wheel Drive",15,13,17,"Automatic (S6)","4.4"
"Chevrolet","Sonic 5 RS",2014,"Automatic","Midsize Cars","4 Cylinders","Front-Wheel Drive",28,25,33,"Automatic (S6)","1.4"
"Ford","Fusion Hybrid FWD",2014,"Automatic","Midsize Cars","4 Cylinders","Front-Wheel Drive",47,47,47,"Automatic (variable gear ratios)","2.0"
"Ford","Explorer AWD FFV",2014,"Automatic","Standard Sport Utility","6 Cylinders","All-Wheel Drive",19,17,23,"Automatic (S6)","3.5"
"Audi","A8",2014,"Automatic","Midsize Cars","8 Cylinders","All-Wheel Drive",21,17,28,"Automatic (S8)","4.0"
"Porsche","Panamera 4",2014,"Automatic","Large Cars","6 Cylinders","All-Wheel Drive",21,18,27,"Auto(AM-S7)","3.6"
"Ford","Focus FWD",2014,"Manual","Compact Cars","4 Cylinders","Front-Wheel Drive",30,26,36,"Manual 5-spd","2.0"
"BMW","M6 Gran Coupe",2014,"Manual","Compact Cars","8 Cylinders","Rear-Wheel Drive",17,15,22,"Manual 6-spd","4.4"
"BMW","320i",2014,"Manual","Compact Cars","4 Cylinders","Rear-Wheel Drive",27,23,36,"Manual 6-spd","2.0"
"Audi","A6 quattro",2014,"Automatic","Midsize Cars","6 Cylinders","All-Wheel Drive",29,24,38,"Automatic (S8)","3.0"
"Chevrolet","Sonic 5",2014,"Manual","Midsize Cars","4 Cylinders","Front-Wheel Drive",33,29,40,"Manual 6-spd","1.4"
