Market,Region,Funding,Amount,Count,AVG
"Advertising Platforms","Atlanta","Seed",2000000,1,2000000
"Coupons","Atlanta","Venture",3000000,1,3000000
"Credit","Atlanta","Venture",50000000,1,50000000
"Crowdsourcing","Atlanta","Seed",1000000,1,1000000
"Groceries","Atlanta","Unknown",2500,1,2500
"Architecture","Austin","Seed",1536871,1,1536871
"B2B","Austin","Venture",10525000,2,5262500
"Communities","Austin","Venture",20290277,2,10145138
"Crm","Austin","Venture",250000,1,250000
"Energy","Austin","Venture",2066851,1,2066851
"Enterprise Purchasing","Austin","Unknown",19800000,1,19800000
"Fitness","Austin","Seed",50000,1,50000
"Hardware","Austin","Venture",18810000,1,18810000
"Human Resources","Austin","Seed",1500000,1,1500000
"Identity Management","Austin","Venture",2500000,1,2500000
"Network Security","Austin","Venture",57000000,1,57000000
"Nonprofits","Austin","Venture",675000,1,675000
"Social Media","Austin","Venture",14000000,1,14000000
"Entertainment","Bangalore","Seed",100000,1,100000
"Social Media","Beijing","Unknown",25000000,1,25000000
"Artists Globally","Berlin","Venture",60000000,1,60000000
"Auctions","Berlin","Venture",30000000,1,30000000
"Banking","Berlin","Unknown",550000,1,550000
"Cars","Berlin","Unknown",7000000,1,7000000
"Consumers","Berlin","Seed",643300,1,643300
"Consumers","Berlin","Venture",20000000,1,20000000
"Financial Services","Berlin","Seed",138178,1,138178
"Local Businesses","Berlin","Venture",8000000,1,8000000
"Messaging","Berlin","Angel",82635,1,82635
"Ad Targeting","Boston","Seed",2200000,1,2200000
"Adventure Travel","Boston","Convertible Note",15000,1,15000
"Agriculture","Boston","Seed",4099998,2,2049999
"Application Performance Monitoring","Boston","Venture",20000000,1,20000000
"Art","Boston","Seed",10000,1,10000
"B2B","Boston","Venture",2266000,1,2266000
"Cloud Security","Boston","Venture",5671497,2,2835748
"Databases","Boston","Venture",14200000,1,14200000
"Design","Boston","Venture",668542,1,668542
"Dod/Military","Boston","Venture",5299999,1,5299999
"Employer Benefits Programs","Boston","Venture",1215000,1,1215000
"Energy Efficiency","Boston","Angel",500000,1,500000
"Enterprises","Boston","Seed",3000000,1,3000000
"Enterprises","Boston","Venture",1114244,1,1114244
"Gps","Boston","Angel",35000,1,35000
"Human Resources","Boston","Seed",500000,1,500000
"Internet Of Things","Boston","Convertible Note",118000,1,118000
"Messaging","Boston","Seed",500000,1,500000
"Music","Boston","Unknown",2208458,1,2208458
"Nonprofits","Boston","Unknown",300000,1,300000
"Nonprofits","Boston","Venture",260000,1,260000
"Politics","Boston","Seed",150000,2,75000
"Saas","Boston","Venture",9499986,1,9499986
"Agriculture","Chicago","Seed",1000000,1,1000000
"All Markets","Chicago","Seed",620000,1,620000
"Chat","Chicago","Venture",9000000,1,9000000
"Contact Management","Chicago","Seed",1000000,1,1000000
"Cooking","Chicago","Seed",8000,1,8000
"Local Businesses","Chicago","Seed",10000,1,10000
"Local Businesses","Chicago","Unknown",5000,1,5000
"Logistics","Chicago","Unknown",11579400,1,11579400
"Search","Chicago","Venture",525000,1,525000
"Social Media","Chicago","Venture",300000,1,300000
"Food Processing","China (Outside Beijing)","Venture",20000000,1,20000000
"Social Media","China (Outside Beijing)","Venture",1600000,1,1600000
"Financial Services","Dallas-Fort Worth","Venture",9611670,1,9611670
"Iaas","Dallas-Fort Worth","Venture",25000000,1,25000000
"Brand Marketing","Denver","Venture",1344995,1,1344995
"Customer Service","Denver","Venture",4000000,1,4000000
"Local Search","Denver","Convertible Note",85000,1,85000
"Location Based Services","Denver","Unknown",1345389,1,1345389
"Sales And Marketing","Denver","Venture",3200000,1,3200000
"Consumer Electronics","Dublin","Seed",13568,1,13568
"Email","Dublin","Angel",817895,1,817895
"Heathcare","Dublin","Venture",285000,1,285000
"Social Media","Dublin","Venture",6000000,1,6000000
"Accounting","London","Seed",1000000,1,1000000
"Artificial Intelligence","London","Seed",150000,1,150000
"Auctions","London","Venture",8362900,1,8362900
"B2B","London","Unknown",757625,1,757625
"Business Services","London","Venture",1345374,1,1345374
"Charities","London","Seed",2650000,1,2650000
"Computer Vision","London","Seed",150000,1,150000
"Concerts","London","Seed",28437,1,28437
"Consumers","London","Equity Crowdfunding",2698918,1,2698918
"Consumers","London","Seed",98534,1,98534
"Coupons","London","Unknown",2424402,1,2424402
"Crm","London","Venture",6000000,1,6000000
"Databases","London","Seed",34833,1,34833
"Design","London","Angel",249622,1,249622
"Developer Apis","London","Venture",18000000,1,18000000
"Digital Media","London","Venture",681000,1,681000
"Email","London","Seed",762927,1,762927
"Embedded Hardware And Software","London","Venture",7000000,1,7000000
"Entertainment","London","Venture",7500000,1,7500000
"Entrepreneur","London","Angel",1200000,1,1200000
"Events","London","Seed",252760,1,252760
"Finance Technology","London","Angel",1847507,1,1847507
"Gamification","London","Venture",8009622,1,8009622
"Guides","London","Unknown",15000,1,15000
"Iaas","London","Seed",500000,1,500000
"In-Flight Entertainment","London","Venture",40000000,1,40000000
"Internet Marketing","London","Seed",1000000,1,1000000
"Internet Of Things","London","Angel",100006,1,100006
"Internet Of Things","London","Seed",151525,1,151525
